name,manager_tenure,inception_date,asset_in_mil,turnover_rates,minimum_investment,load,net_expense_ratio,gross_expense_ratio
JPMorgan Emerging Markets Strategic Debt Fund Class C (JECCX),20 years,$608.25,06/29/2012,119%,"$1,000",N,1.7%,2.03%
MFS Managed Wealth Fund Class A (MNWAX),20 years,$124.06,06/27/2014,50%,"$1,000",Y,1.4%,1.4%
AB Municipal Income Fund II Ohio Portfolio Class C (AOHCX),20 years,$73.49,06/25/1993,17%,"$2,500",N,1.55%,1.91%
BlackRock New York Municipal Opportunities Fund Institutional Shares (MANKX),20 years,"$1,587.49",10/25/1988,15%,"$2,000,000",N,0.54%,0.61%
Columbia Connecticut Intermediate Municipal Bond Fund Class A (LCTAX),20 years,$93.98,08/01/1994,17%,"$2,500",Y,0.82%,0.94%
Nuveen North Carolina Municipal Bond Fund Class C (FDCCX),20 years,$796.63,03/27/1986,10%,"$3,000",N,1.57%,1.57%
Aquila Narragansett Tax-Free Income Fund Class A (NITFX),20 years,$269.45,09/10/1992,7%,"$2,500",Y,0.85%,0.87%
Boston Partners Global Long/Short Fund Institutional Class (BGLSX),20 years,$103.77,12/31/2013,125%,"$100,000",N,2.46%,2.46%
DoubleLine Flexible Income Fund Class N (DLINX),20 years,"$1,291.55",04/07/2014,46%,"$2,000",N,1.02%,1.02%
Franklin Arizona Tax Free Income Fund Class C (FAZIX),20 years,"$1,041.65",09/01/1987,13.66%,"$1,000",N,1.21%,1.21%
Franklin Ohio Tax-Free Income Fund Class C (FOITX),20 years,"$1,683.99",04/03/1985,20.64%,"$1,000",N,1.2%,1.2%
Kansas Municipal Fund Class I (KSITX),20 years,$80.72,11/15/1990,15.21%,"$2,500",N,0.73%,0.92%
Morgan Stanley Mortgage Securities Trust Class A (MTGAX),20 years,$190.16,07/28/1997,233%,"$2,500",Y,1%,1.16%
Rational Tactical Return Fund Class C (HRSFX),20 years,$272.76,05/01/2007,0%,"$2,500",N,3.04%,3.09%
Schwab California Tax-Free Bond Fund™ (SWCAX),20 years,$494.87,02/24/1992,43%,"$2,500",N,0.49%,0.58%
Commerce Missouri Tax Free Intermediate Bond Fund (CFMOX),20 years,$384.14,02/21/1995,13%,"$2,500",N,0.62%,0.62%
Eaton Vance South Carolina Municipal Income Fund Class A (EASCX),20 years,$173.60,02/14/1994,20%,"$2,500",Y,0.69%,0.69%
Nuveen Floating Rate Income Fund Class A (NFRAX),20 years,"$1,137.34",05/02/2011,63%,"$3,000",Y,1.02%,1.02%
Oklahoma Municipal Fund Class I (OKMIX),20 years,$80.83,09/25/1996,13.69%,"$2,500",N,0.73%,0.92%
Parametric TABS 5-to-15 Year Laddered Municipal Bond Fund Class C (ECLTX),20 years,$959.70,02/01/2010,51%,"$2,500",N,1.4%,1.43%
BlackRock California Municipal Opportunities Fund Institutional shares (MACMX),20 years,"$3,390.93",10/25/1988,53%,"$2,000,000",N,0.48%,0.49%
Donoghue Forlines Dividend Fund Class I (PWDIX),20 years,$45.24,11/07/2013,309%,"$100,000",N,1.6%,1.6%
Hartford Municipal Opportunities Fund Class C (HHMCX),20 years,"$1,776.53",05/31/2007,26%,"$2,500",N,1.43%,1.43%
John Hancock Government Income Fund Class A (JHGIX),20 years,$273.50,09/30/1994,169%,"$1,000",Y,0.98%,1.01%
PIMCO Low Duration Income Fund Class A (PFIAX),20 years,"$10,742.91",07/30/2004,410%,"$1,000",Y,0.94%,0.94%
BNY Mellon Global Fixed Income Fund - Class C (DHGCX),20 years,"$2,935.25",12/31/1993,107.96%,"$2,500",N,1.55%,1.55%
Franklin Colorado Tax Free Income Fund Class C (FCOIX),20 years,$755.32,09/01/1987,19.32%,"$1,000",N,1.23%,1.23%
Franklin Minnesota Tax-Free Income Fund Class C (FMNIX),20 years,"$1,147.11",04/03/1985,9.45%,"$1,000",N,1.23%,1.23%
Sterling Capital South Carolina Intermediate Tax Free Fund Institutional Shares (BSCIX),20 years,$81.66,10/20/1997,4.84%,"$1,000,000",N,0.56%,0.56%
The Arbitrage Fund Class A (ARGAX),20 years,"$1,655.84",09/18/2000,300%,"$2,500",Y,1.74%,1.74%
AlphaCentric Income Opportunities Fund Class A (IOFAX),20 years,"$4,339.92",05/28/2015,54%,"$2,500",Y,1.74%,1.96%
BNY Mellon New York AMT-Free Municipal Bond Fund Class C (PNYCX),20 years,$312.80,12/31/1986,13.63%,"$2,500",N,1.63%,1.73%
Federated Hermes Michigan Intermediate Municipal Fund Institutional Shares (MMFIX),20 years,$72.22,09/18/1991,20%,"$1,000,000",N,0.52%,0.92%
John Hancock Funds Floating Rate Income Fund Class A (JFIAX),20 years,"$1,827.14",01/02/2008,59%,"$1,000",Y,1.01%,1.19%
Aquila Tax-Free Trust of Arizona Class A (AZTFX),20 years,$284.09,03/13/1986,11%,"$2,500",Y,0.71%,0.71%
Eagle MLP Strategy Fund Class A Shares (EGLAX),20 years,$85.30,09/14/2012,82%,"$2,500",Y,1.68%,2.1%
Federated Hermes Global Total Return Bond Fund Institutional Shares (FGTBX),20 years,$35.95,06/04/1991,146%,"$1,000,000",N,0.79%,1.74%
Goldman Sachs Government Income Fund Class A (GSGOX),20 years,$288.31,02/10/1993,820%,"$1,000",Y,0.85%,1.1%
Neuberger Berman Absolute Return Multi-Manager Fund Institutional Class (NABIX),20 years,$74.92,05/15/2012,230%,"$1,000,000",N,2.19%,2.76%
Nuveen Michigan Municipal Bond Fund Class C (FAFNX),20 years,$362.40,06/27/1985,4%,"$3,000",N,1.63%,1.63%
Shenkman Capital Short Duration High Income Fund Institutional Class (SCFIX),20 years,"$1,349.35",10/31/2012,100%,"$1,000,000",N,0.66%,0.71%
Yorktown Multi-Sector Bond Fund Class Institutional (APIIX),20 years,$455.40,04/01/2010,56%,"$2,500",N,0.63%,0.63%
Blackrock Strategic Municipal Opp Fd Of Blackrock Muni Series Tr Institutional Shares (MAMTX),20 years,"$8,896.03",10/31/1988,100%,"$2,000,000",N,0.63%,0.68%
Calamos Market Neutral Income Fund Class C (CVSCX),20 years,"$16,429.24",09/04/1990,76.6%,"$2,500",N,1.98%,1.98%
PIMCO Mortgage Opportunities and Bond Fund Class I-3 (PMZNX),20 years,"$7,486.54",10/22/2012,913%,$0,N,0.83%,0.88%
The Arbitrage Fund Class R (ARBFX),20 years,"$1,655.84",09/18/2000,300%,"$2,500",N,1.74%,1.74%
Thornburg Strategic Municipal Income Fund Class I (TSSIX),20 years,$372.90,04/01/2009,20.04%,"$2,500,000",N,0.59%,0.99%
Aberdeen Intermediate Municipal Income Fund Institutional Class (ABEIX),20 years,$61.08,03/17/1986,55.63%,"$1,000,000",N,0.5%,0.84%
American Century Global Bond Fund A Class (AGBAX),20 years,"$2,494.99",01/31/2012,106%,$250,Y,1.06%,1.1%
Commerce Kansas Tax Free Intermediate Bond Fund (KTXIX),20 years,$177.90,12/26/2000,16%,"$2,500",N,0.7%,0.75%
Nuveen Kansas Municipal Bond Fund Class A (FKSTX),20 years,$302.94,01/09/1992,6%,"$3,000",Y,0.79%,0.79%
AB Global Bond Fund Class A (ANAGX),20 years,"$6,927.08",03/27/1992,135%,"$2,500",Y,0.8%,0.8%
Baird Quality Intermediate Municipal Bond Fund Class Institutional (BMBIX),20 years,"$1,619.24",03/30/2001,15%,"$10,000",N,0.3%,0.3%
Federated Hermes Government Income Securities Fund Institutional Shares (GISIX),20 years,$127.70,04/04/1986,197%,"$1,000,000",N,0.76%,1.02%
Neuberger Berman Floating Rate Income Fund Class A (NFIAX),20 years,$356.87,12/29/2009,81%,"$2,500",Y,0.98%,1.24%
Payden Emerging Markets Local Bond Fund Investor Class (PYELX),20 years,$43.55,11/02/2011,54%,"$5,000",N,0.93%,0.93%
Sterling Capital West Virginia Intermediate Tax-Free Fund Institutional Class (OWVAX),20 years,$95.55,12/01/1993,3.28%,"$1,000,000",N,0.57%,0.57%
Brandes Emerging Markets Value Fund Class I (BEMIX),20 years,"$1,287.16",01/31/2011,34.39%,"$100,000",N,1.12%,1.14%
Columbia Oregon Intermediate Municipal Bond Fund Class A (COEAX),20 years,$366.08,07/02/1984,5%,"$2,500",Y,0.81%,0.84%
Conductor Global Equity Value Fund Class A (RAALX),20 years,$65.73,12/27/2013,91%,"$2,500",Y,2.25%,2.38%
Deer Park Total Return Credit Fund Class A (DPFAX),20 years,$872.73,10/16/2015,11%,"$2,500",Y,2.18%,2.41%
Gotham Total Return Fund Investor Class (GTRNX),20 years,$28.15,03/31/2015,55%,"$2,500",N,1.58%,2.17%
Wells Fargo Short-Term Bond Plus Fund - Class Inst (SSHIX),20 years,$620.76,08/31/1999,88%,"$1,000,000",N,0.48%,0.52%
Brown Advisory Intermediate Income Advisor Shares (BAIAX),20 years,$165.29,05/31/1991,50%,"$2,500",N,0.81%,0.85%
JPMorgan New York Tax Free Bond Fund Class I (JNYIX),20 years,$398.24,02/16/2001,13%,"$1,000,000",N,0.5%,0.69%
Loomis Sayles Intermediate Municipal Bond Fund Class A (MIMAX),20 years,$40.23,12/31/2012,41%,"$2,500",Y,0.71%,1.43%
Nuveen Minnesota Municipal Bond Fund Class C (NTCCX),20 years,$749.52,07/11/1988,7%,"$3,000",N,1.57%,1.57%
PGIM California Muni Income Fund-Class A (PBCAX),20 years,$223.86,12/03/1990,27%,"$2,500",Y,0.68%,0.77%
Schwab Opportunistic Municipal Bond Fund (SWHYX),20 years,$70.51,03/31/2014,83%,"$2,500",N,0.5%,0.63%
Thrivent Opportunity Income Plus Fund Class A (AAINX),20 years,$846.31,07/16/1987,186%,"$2,500",Y,0.91%,0.91%
AB All Market Income Portfolio Class C (MRKCX),20 years,$92.65,12/18/2014,105%,"$2,500",N,1.75%,2.36%
Franklin Maryland Tax Free Income Fund Class A (FQMDX),20 years,$416.75,10/03/1988,18.2%,"$1,000",Y,0.87%,0.87%
FundX Flexible Income Fund (INCMX),20 years,$91.17,07/01/2002,262%,"$2,500",N,1.3%,1.32%
PGIM Government Income Fund- Class Z (PGVZX),20 years,$519.35,01/22/1990,232%,"$2,500",N,0.48%,0.66%
PIMCO New York Municipal Bond Fund Class C (PBFCX),20 years,$693.67,08/31/1999,31%,"$1,000",N,1.525%,1.525%
Putnam Massachusetts Tax Exempt Income Fund Class C (PMMCX),20 years,$316.41,08/19/2003,11%,"$2,500",N,1.55%,1.55%
Sierra Tactical Core Income Fund Class C (SSICX),20 years,"$1,904.60",12/27/2011,294%,"$10,000",N,2.59%,2.6%
USAA Government Securities Fund Class A (UAGNX),20 years,$914.55,02/01/1991,15%,"$2,500",Y,0.7%,1.06%
Western Asset Mortgage Total Return Fund Class A (SGVAX),20 years,$711.71,11/06/1992,108%,"$1,000",Y,0.96%,0.96%
Wilmington New York Municipal Bond Fund Institutional Class (WNYIX),20 years,$62.61,09/22/1993,14%,"$100,000",N,0.57%,0.84%
Centerstone International Fund Class I (CINTX),20 years,$59.78,05/03/2016,30.37%,"$2,500",N,1.17%,1.37%
Eaton Vance Multi-Asset Credit Fund Class C (ECAMX),20 years,$472.49,10/31/2011,93%,"$2,500",N,1.74%,1.75%
Franklin North Carolina Tax-Free Income Fund Class A (FQNCX),20 years,$865.39,09/01/1987,15.09%,"$1,000",Y,0.81%,0.81%
Franklin Oregon Tax Free Income Fund Class C (FORIX),20 years,"$1,316.43",09/01/1987,18.23%,"$1,000",N,1.2%,1.2%
PGIM Jennison MLP Fund-Class C (PRPCX),20 years,$454.29,12/18/2013,45%,"$2,500",N,2.72%,2.72%
PGIM Short-Term Corporate Bond Fund- Class A (PBSMX),20 years,"$13,945.99",09/01/1989,36%,"$2,500",Y,0.76%,0.77%
Recurrent MLP & Infrastructure Fund Class I (RMLPX),20 years,$221.48,11/02/2017,32%,"$2,500",N,1.26%,1.38%
AB Intermediate Diversified Municipal Portfolio Class A (AIDAX),20 years,"$6,719.11",01/09/1989,20%,"$2,500",Y,0.67%,0.67%
Aquila Tax-Free Fund For Utah Class A (UTAHX),20 years,$481.95,07/24/1992,6%,"$2,500",Y,0.86%,0.88%
Eaton Vance Floating-Rate & High Income Fund Class I (EIFHX),20 years,"$1,480.53",09/15/2000,8%,"$2,500",N,0.83%,0.83%
Eaton Vance Global Macro Absolute Return Fund Class C (ECGMX),20 years,"$2,551.81",10/01/2009,81%,"$2,500",N,1.75%,1.75%
JPMorgan Unconstrained Debt Fund Class A Shares (JSIAX),20 years,"$1,148.33",12/01/2010,333%,"$1,000",Y,0.9%,1.1%
MainStay MacKay Short Duration High Yield Fund Class C (MDHCX),20 years,"$1,488.71",12/17/2012,64%,"$2,500",N,1.88%,1.88%
PIMCO Global Bond Opportunities Fund (U.S. Dollar-Hedged) Class A (PAIIX),20 years,$894.79,10/02/1995,582%,"$1,000",Y,0.91%,0.91%
Victory Floating Rate Fund Class C (RSFCX),20 years,"$2,079.83",12/31/2009,54%,"$2,500",N,1.8%,1.94%
Wells Fargo International Bond Fund - Class C (ESIVX),20 years,$145.37,12/15/1993,158%,"$1,000",N,1.78%,2.25%
Eaton Vance Global Bond Fund Class I (EIIMX),20 years,$57.98,03/01/2011,88%,"$2,500",N,0.71%,1.2%
Franklin Missouri Tax Free Income Fund Class C (FMOIX),20 years,"$1,015.62",09/01/1987,18.2%,"$1,000",N,1.21%,1.21%
Invesco Macro Allocation Strategy Fund Class A (GMSDX),20 years,$251.89,09/26/2012,120%,"$1,000",Y,1.46%,1.93%
Nuveen Maryland Municipal Bond Fund Class C (NACCX),20 years,$305.21,02/28/1992,9%,"$3,000",N,1.6%,1.6%
Shenkman Capital Short Duration High Income Fund Class F (SCFFX),20 years,"$1,349.35",10/31/2012,100%,"$2,500",N,0.76%,0.81%
Timothy Plan Fixed Income Fund Class I (TPFIX),20 years,$123.85,07/14/1999,32%,"$100,000",N,1.05%,1.05%
Tributary Nebraska Tax-Free Fund Institutional Plus Class (FONPX),20 years,$70.66,12/31/2015,5%,"$5,000,000",N,0.45%,0.67%
Wells Fargo Municipal Bond Fund - Class C (WMFCX),20 years,"$5,493.47",04/08/2005,16%,"$1,000",N,1.5%,1.52%
American Century California Intermediate-Term Tax-Free Bond Fund A Class (BCIAX),20 years,"$2,122.99",11/09/1983,30%,$250,Y,0.72%,0.72%
Aquila Churchill Tax Free Fund of Kentucky Class A (CHTFX),20 years,$190.55,05/21/1987,7%,"$2,500",Y,0.78%,0.78%
Barings Global Credit Income Opportunities Fund Class C (BXICX),20 years,$184.33,09/16/2013,71.11%,"$2,500",N,1.95%,2.19%
BlackRock Global Long/Short Credit Fund Investor A Shares (BGCAX),20 years,"$1,667.67",09/30/2011,156%,"$2,500",Y,2.11%,2.11%
Columbia California Intermediate Muni Bond Fund Class A (NACMX),20 years,$448.17,08/19/2002,5%,"$2,500",Y,0.75%,0.87%
Eaton Vance Municipal Opportunities Fund Class C (EMOCX),20 years,"$1,308.01",05/31/2011,62%,"$2,500",N,1.67%,1.67%
Franklin Massachusetts Tax-Free Income Fund Class C (FMAIX),20 years,$441.77,04/03/1985,18.21%,"$1,000",N,1.26%,1.26%
Franklin New York Intermediate Tax-Free Income Fund Class A (FKNQX),20 years,$913.01,09/21/1992,13.94%,"$1,000",Y,0.84%,0.84%
Guggenheim Market Neutral Real Estate Fund Class C (GUMCX),20 years,$58.73,02/26/2016,355%,"$2,500",N,2.4%,3.17%
Metropolitan West Unconstrained Bond Fund Class M (MWCRX),20 years,"$4,164.06",09/30/2011,165%,"$5,000",N,1.03%,1.03%
SEI Institutional Managed Trust Multi-Asset Capital Stability Fund Class F (SCLAX),20 years,$721.04,04/09/2012,124%,"$100,000",N,0.62%,0.98%
SEI Tax Exempt Trust Massachusetts Municipal Bond Fund Class F (SMAAX),20 years,$83.60,08/19/1998,16%,"$100,000",N,0.63%,0.8%
Wells Fargo Short-Term High Yield Bond Fund - Class C (WFHYX),20 years,"$1,060.22",02/29/2000,78%,"$1,000",N,1.57%,1.7%
ALPS/Smith Short Duration Bond Fund Investor Shares (SMRSX),20 years,$522.48,06/29/2018,457%,"$2,500",N,0.79%,0.96%
DoubleLine Low Duration Emerging Markets Fixed Income Fund Class I (DBLLX),20 years,$260.56,04/07/2014,72%,"$100,000",N,0.6%,0.67%
Franklin New Jersey Tax Free Income Fund Class C (FNIIX),20 years,$835.79,05/12/1988,15.41%,"$1,000",N,1.22%,1.22%
PIMCO International Bond Fund (Unhedged) Class A (PFUAX),20 years,"$1,464.58",04/30/2004,525%,"$1,000",Y,0.92%,0.92%
Viking Tax-Free Fund For Montana Class I (VMTIX),20 years,$95.56,08/03/1999,10.52%,"$2,500",N,0.73%,0.9%
JPMorgan Short Duration Core Plus Fund Class A (JSDHX),20 years,"$10,024.90",03/01/2013,129%,"$1,000",Y,0.64%,0.86%
Tortoise MLP & Energy Income Fund Class C (INFFX),20 years,$438.05,12/27/2010,43%,"$2,500",N,2.14%,2.14%
American Century Short Duration Strategic Income Fund A Class (ASADX),20 years,$585.76,07/28/2014,193%,$250,Y,0.78%,0.78%
DoubleLine Total Return Bond Fund Class N (DLTNX),20 years,"$50,058.47",04/06/2010,91%,"$2,000",N,0.75%,0.75%
Eaton Vance New York Municipal Opportunities Fund Class C (EZNYX),20 years,$83.89,12/08/1993,77%,"$2,500",N,1.49%,1.49%
ALPS/Smith Short Duration Bond Fund Class A (SMASX),20 years,$522.48,06/29/2018,457%,"$2,500",Y,0.79%,0.96%
AXS Chesapeake Strategy Fund Class I (EQCHX),20 years,$19.46,09/10/2012,36%,"$5,000",N,1.87%,2.1%
Calvert Short Duration Income Fund Class A (CSDAX),20 years,"$2,420.14",01/31/2002,91%,"$2,500",Y,0.76%,0.77%
Catalyst Insider Income Fund Class C (IIXCX),20 years,$116.91,07/29/2014,89%,"$2,500",N,1.75%,2.12%
Federated Hermes Government Income Securities Inc Class F Shares (FGOIX),20 years,$127.70,04/04/1986,197%,"$1,500",N,1.01%,1.27%
Franklin Pennsylvania Tax-Free Income Fund Class A (FPAQX),20 years,"$1,051.56",12/01/1986,28.44%,"$1,000",Y,0.81%,0.81%
Goldman Sachs Short Duration Bond Fund Class A (GDIAX),20 years,"$2,581.80",02/29/2012,253%,"$1,000",Y,0.74%,0.82%
Voya GNMA Income Fund Class I (LEINX),20 years,"$1,703.68",08/17/1973,419%,"$250,000",N,0.54%,0.57%
Wells Fargo Minnesota Tax-Free Fund - Class A (NMTFX),20 years,$186.97,01/12/1988,9%,"$1,000",Y,0.85%,0.93%
AB Municipal Income Fund II Minnesota Portfolio Class C (AMNCX),20 years,$56.94,06/25/1993,5%,"$2,500",N,1.6%,1.97%
BlackRock U.S. Government Bond Portfolio Investor C Shares (BIGCX),20 years,$663.80,04/20/1992,745%,"$2,500",N,1.57%,1.81%
BrandywineGLOBAL - Global Unconstrained Bond Fund Class A (LROAX),20 years,$748.39,02/28/2011,107%,"$1,000",Y,1.11%,1.11%
Brown Advisory Maryland Bond Fund Investor Shares (BIAMX),20 years,$183.65,12/21/2000,17%,"$2,500",N,0.49%,0.49%
Columbia Massachusetts Intermediate Municipal Bond Fund Class A (LMIAX),20 years,$211.66,06/14/1993,13%,"$2,500",Y,0.82%,0.91%
Federated Hermes Michigan Intermediate Municipal Fund Class A Shares (MMIFX),20 years,$72.22,09/18/1991,20%,"$1,500",Y,0.77%,1.09%
MainStay Candriam Emerging Markets Debt Fund Class C (MHYCX),20 years,$104.26,06/01/1998,102%,"$2,500",N,2.22%,2.4%
MFS Virginia Municipal Bond Fund Class C (MVACX),20 years,$403.02,10/31/1984,21%,"$1,000",N,1.57%,1.63%
BrandywineGLOBAL - Alternative Credit Fund Class A (LMAPX),20 years,$214.30,12/02/2013,73%,"$1,000",Y,1.66%,1.71%
CCM Community Impact Bond Fund Institutional Shares (CRANX),20 years,"$3,333.14",08/30/1999,49%,"$100,000",N,0.45%,0.45%
DWS California Tax-Free Income Fund - Class C (KCTCX),20 years,$637.91,02/17/1983,57%,"$2,500",N,1.54%,1.64%
Federated Hermes Government Income Fund Institutional Shares (FICMX),20 years,$197.07,03/30/1982,336%,"$25,000",N,0.64%,0.95%
Federated Hermes Government Income Securities Inc Class A Shares (FGOAX),20 years,$127.70,04/04/1986,197%,"$1,500",Y,1.01%,1.27%
Nuveen Intermediate Duration Municipal Bond Fund Class C (NNCCX),20 years,"$10,713.21",11/29/1976,18%,"$3,000",N,1.44%,1.44%
Access Capital Community Investment Fund Institutional Class (ACCSX),20 years,$737.52,06/23/1998,23%,"$1,000,000",N,0.46%,0.52%
BlackRock GNMA Portfolio Investor A Shares (BGPAX),20 years,$552.55,05/18/1998,1.38%,"$2,500",Y,0.73%,0.93%
"BNY Mellon New Jersey Municipal Bond Fund, Inc. Class C (DCNJX)",20 years,$415.86,11/06/1987,14.13%,"$2,500",N,1.6%,1.79%
DWS Massachusetts Tax Free Fund - Class C (SQMCX),20 years,$353.09,05/28/1987,30%,"$2,500",N,1.62%,1.71%
EuroPac International Bond Fund Class I (EPBIX),20 years,$49.38,11/15/2010,16%,"$5,000",N,0.9%,1.21%
Franklin Georgia Tax Free Income Fund Class C (FGAIX),20 years,$479.72,09/01/1987,16.89%,"$1,000",N,1.26%,1.26%
Frost Total Return Bond Fund Investor Class (FATRX),20 years,"$3,054.40",04/25/2008,38%,"$2,500",N,0.72%,0.72%
Goldman Sachs Dynamic Municipal Income Fund Class C (GSMUX),20 years,"$10,867.09",07/20/1993,6%,"$1,000",N,1.47%,1.5%
Sierra Tactical All Asset Fund Class C (SIRCX),20 years,$880.61,12/24/2007,310%,"$10,000",N,3.14%,3.14%
Thornburg Intermediate Municipal Fund Class A (THIMX),20 years,"$1,023.08",07/22/1991,15.88%,"$5,000",Y,0.77%,0.9%
Wilmington Municipal Bond Fund Class A (WTABX),20 years,$355.94,11/01/1993,24%,"$2,500",Y,0.74%,1.1%
American Century Intermediate Term Tax-Free Bond Fund Class C (TWTCX),20 years,"$4,244.44",03/02/1987,28%,$250,N,1.47%,1.47%
BlackRock Floating Rate Income Fund Institutional shares (BFRIX),20 years,"$4,452.78",11/03/1989,47%,"$2,000,000",N,0.71%,0.72%
Calvert Flexible Bond Fund Class C (CUBCX),20 years,$245.48,09/30/2014,104%,"$2,500",N,1.67%,1.7%
Eaton Vance Floating-Rate Advantage Fund Class I (EIFAX),20 years,"$7,896.61",03/17/2008,30%,"$2,500",N,1.35%,1.35%
Nuveen Connecticut Municipal Bond Fund Class C (FDCDX),20 years,$296.25,07/13/1987,9%,"$3,000",N,1.6%,1.6%
JPMorgan Government Bond Fund Class C (OGVCX),20 years,"$2,803.75",02/08/1993,12%,"$1,000",N,1.39%,1.4%
Sterling Capital North Carolina Intermediate Tax-Free Fund Institutional Shares (BBNTX),20 years,$185.16,10/16/1992,17.06%,"$1,000,000",N,0.55%,0.55%
Vanguard Short-Term Investment-Grade Fund Investor Shares (VFSTX),20 years,"$79,197.40",10/29/1982,89%,"$3,000",N,0.2%,0.2%
BlackRock California Municipal Opportunities Fund Investor A Shares (MECMX),20 years,"$3,390.93",10/25/1988,53%,"$1,000",Y,0.73%,0.73%
BlackRock National Municipal Fund Investor C Shares (MFNLX),20 years,"$14,769.42",11/02/1979,42%,"$1,000",N,1.45%,1.49%
BlackRock New York Municipal Opportunities Fund Investor A Shares (MENKX),20 years,"$1,587.49",10/25/1988,15%,"$1,000",Y,0.79%,0.85%
Parametric TABS 1-to-10 Year Laddered Municipal Bond Fund Class A (EALBX),20 years,$93.76,05/04/2015,81%,"$2,500",Y,0.65%,0.81%
Payden/Kravitz Cash Balance Plan Fund SI Class (PKBIX),20 years,$125.60,09/22/2008,71%,"$25,000",N,1.25%,1.51%
PIMCO International Bond Fund (U.S. Dollar-Hedged) Class I-3 (PFONX),20 years,"$14,177.90",12/02/1992,520%,$0,N,0.67%,0.72%
Vanguard Mortgage-Backed Securities Index Fund Admiral Shares (VMBSX),20 years,"$16,795.70",11/19/2009,316%,"$2,500",N,0.07%,0.07%
Western Asset Intermediate Maturity California Municipals Fund Class I (SICYX),20 years,$165.26,12/31/1991,44%,"$1,000,000",N,0.6%,0.7%
Blackrock Strategic Municipal Opp Fd Of Blackrock Muni Series Tr Investor A Shares (MEMTX),20 years,"$8,896.03",10/31/1988,100%,"$1,000",Y,0.85%,0.9%
DDJ Opportunistic High Yield Fund Class II (DDJRX),20 years,$254.38,07/16/2015,66%,"$5,000",N,1.14%,1.71%
Delaware Ivy Government Securities Fund Class A (IGJAX),20 years,$348.30,04/10/1984,43%,"$2,500",Y,0.97%,1.05%
Frost Total Return Bond Fund A Class Shares (FAJEX),20 years,"$3,054.40",04/25/2008,38%,"$2,500",Y,0.87%,0.87%
Invesco Intermediate Term Municipal Income Fund Class C (VKLCX),20 years,"$2,394.63",05/28/1993,11%,"$1,000",N,1.57%,1.57%
Kansas Municipal Fund Class A (KSMUX),20 years,$80.72,11/15/1990,15.21%,"$2,500",Y,0.98%,1.17%
PGIM Emerging Markets Debt Local Currency Fund-Class C (EMDCX),20 years,$55.85,03/30/2011,64%,"$2,500",N,1.88%,5.15%
Putnam Ohio Tax Exempt Income Fund Class C (POOCX),20 years,$101.91,10/03/2006,12%,"$2,500",N,1.6%,1.6%
Sterling Capital Virginia Intermediate Tax-Free Fund Institutional Shares (BVATX),20 years,$82.24,05/17/1999,15.44%,"$1,000,000",N,0.56%,0.56%
